"month","average_order_value"
"2016-09-01 00:00:00","84.08"
"2016-10-01 00:00:00","172.78"
"2016-12-01 00:00:00","19.62"
"2017-01-01 00:00:00","162.93"
"2017-02-01 00:00:00","154.78"
"2017-03-01 00:00:00","158.57"
"2017-04-01 00:00:00","162.50"
"2017-05-01 00:00:00","150.33"
"2017-06-01 00:00:00","148.80"
"2017-07-01 00:00:00","137.22"
"2017-08-01 00:00:00","148.22"
"2017-09-01 00:00:00","161.15"
"2017-10-01 00:00:00","160.43"
"2017-11-01 00:00:00","151.96"
"2017-12-01 00:00:00","149.01"
"2018-01-01 00:00:00","147.43"
"2018-02-01 00:00:00","142.76"
"2018-03-01 00:00:00","154.37"
"2018-04-01 00:00:00","161.02"
"2018-05-01 00:00:00","161.74"
"2018-06-01 00:00:00","159.51"
"2018-07-01 00:00:00","163.91"
"2018-08-01 00:00:00","152.65"
"2018-09-01 00:00:00","277.47"
"2018-10-01 00:00:00","147.42"
